ticker,current_price,basic_snapshot,previous_close,percent_change,latest_volume,rsi_14,sma_20,sma_50,sma_200,ema_12,ema_20,ema_50,ema_200,macd,macd_signal,bb_upper,bb_middle,bb_lower,atr_14,adx_14,support_20,resistance_20,support_75,resistance_75,support_200,resistance_200,pct_ytd_return,low_52w,high_52w,range_pos_pct,pct_from_52w_high,pct_from_52w_low,earnings_date,dividend_date,ex_dividend_date
ASAN,18.89,18.895,18.4,2.69,219081.0,65.26,17.78,16.28,16.4,18.01,17.67,17.13,15.99,0.56,0.53,18.98,17.78,16.58,0.69,14.78,17.2,18.4,17.2,18.4,17.2,18.4,-4.83,11.17,27.52,47.22,-31.35,69.12,2025-06-03,,
ORCL,168.93,168.925,166.53,1.44,174925.0,70.07,158.98,146.48,162.14,162.07,158.59,153.5,155.06,5.5,4.96,170.53,158.98,147.43,4.11,26.17,146.08,169.07,156.83,136.44,154.53,163.34,2.33,117.96,191.27,69.45,-11.71,43.16,2025-06-09,2025-04-22,2025-04-09
AAPL,203.25,203.25,201.69,0.78,803788.0,49.06,203.5,204.81,225.45,202.39,203.18,207.47,218.96,-1.41,-1.25,214.77,203.5,192.22,5.35,16.72,193.26,213.92,169.25,212.96,217.7,212.96,-16.46,172.19,258.4,36.01,-21.35,18.02,2025-07-30,2025-05-14,2025-05-11
GOOGL,166.87,166.87,169.0,-1.26,1086397.0,52.65,164.91,160.14,171.22,168.25,166.34,164.74,169.53,2.92,2.75,177.72,164.91,152.1,5.03,19.44,147.85,176.76,163.67,174.35,163.67,174.35,-11.82,144.7,206.14,36.05,-19.06,15.31,2025-07-21,2025-06-15,2025-06-08
AMZN,205.61,205.61,206.69,-0.52,814028.0,58.09,202.45,192.28,201.73,203.99,201.55,198.48,197.2,3.93,4.09,216.32,202.45,188.57,5.59,17.95,183.9,206.68,200.18,206.68,200.18,207.65,-6.64,161.02,242.06,55.0,-15.06,27.68,2025-07-30,,
MSFT,463.48,463.33,461.97,0.33,339301.0,71.89,451.93,411.95,417.46,455.79,447.74,426.61,420.7,13.98,15.22,469.96,451.93,433.89,7.83,38.57,431.18,464.09,344.89,391.79,448.94,439.4,11.1,353.91,464.0,99.32,-0.16,30.89,2025-07-28,2025-06-11,2025-05-14
TSLA,346.88,346.96,342.65,1.23,771719.0,60.9,332.05,290.47,303.75,342.4,331.6,310.06,288.55,18.07,19.39,384.37,332.05,279.72,15.61,31.95,271.03,367.59,271.03,367.59,333.26,251.56,-8.49,170.66,479.86,57.06,-27.67,103.37,2025-07-21,,
NFLX,1219.75,1219.75,1217.83,0.16,64846.0,68.67,1177.49,1067.97,897.48,1194.7,1172.85,1099.76,907.37,39.02,42.15,1238.87,1177.49,1116.11,25.26,31.51,1103.61,1227.67,822.22,1227.67,901.32,1227.67,37.55,598.55,1219.71,100.0,0.0,103.78,2025-07-16,,
META,668.46,668.46,671.15,-0.4,334723.0,68.19,635.39,585.74,594.96,645.2,631.95,610.56,579.98,21.1,19.78,682.37,635.39,588.4,18.37,27.46,586.73,675.42,479.95,740.79,580.22,630.96,11.65,452.21,736.02,76.19,-9.18,47.82,2025-07-29,2025-03-25,2025-06-15
NVDA,141.29,141.295,137.37,2.86,3798988.0,68.68,130.6,117.01,126.96,134.48,130.54,123.54,137.25,6.34,6.08,146.79,130.6,114.4,4.86,30.72,110.83,135.87,112.29,135.87,129.18,143.48,2.16,94.31,149.42,85.24,-5.44,49.81,2025-08-27,2025-07-02,2025-06-10
AMD,116.47,116.46,114.64,1.6,728033.0,62.87,110.88,101.98,125.82,112.51,110.2,106.32,124.92,3.78,3.91,121.97,110.88,99.78,4.31,24.59,96.92,114.93,110.62,114.93,110.62,114.93,-3.46,78.21,183.96,36.17,-36.69,48.91,2025-07-28,,1995-04-26
