ticker,current_price,basic_snapshot,previous_close,percent_change,latest_volume,rsi_14,sma_20,sma_50,sma_200,ema_12,ema_20,ema_50,ema_200,macd,macd_signal,bb_upper,bb_middle,bb_lower,atr_14,adx_14,support_20,resistance_20,support_75,resistance_75,support_200,resistance_200,earnings_date,dividend_date,ex_dividend_date
MMM,147.84,147.84,150.7,-1.9,142893.0,59.58,139.0,142.35,136.71,143.28,141.65,141.49,132.68,1.99,0.32,151.01,139.0,127.0,4.18,18.26,137.7,151.65,139.23,154.08,139.23,140.18,2025-07-24,2025-03-11,2025-02-13
AOS,68.34,68.34,70.12,-2.55,54280.0,56.09,66.47,65.98,73.1,67.99,67.18,66.56,73.01,1.16,0.83,71.31,66.47,61.63,1.51,14.56,67.31,68.75,67.31,68.75,67.31,68.75,2025-07-21,2025-05-14,2025-04-29
ABT,128.54,128.54,128.99,-0.35,142576.0,43.33,131.07,129.96,120.54,131.11,130.83,129.73,120.26,0.48,0.76,134.47,131.07,127.66,2.88,14.28,128.12,136.64,128.12,134.95,128.12,134.95,2025-07-16,2025-05-14,2025-04-14
ABBV,177.41,177.41,188.0,-5.63,375010.0,39.53,185.11,194.84,189.32,186.58,187.21,189.94,186.78,-1.32,-1.15,202.21,185.11,168.01,6.67,21.29,168.6,195.82,208.91,195.82,168.6,198.28,2025-07-23,2025-05-14,2025-04-14
ACN,320.35,320.35,322.41,-0.64,92937.0,63.96,300.02,306.39,342.6,309.81,306.12,312.25,327.59,4.02,0.16,325.41,300.02,274.63,7.27,25.96,303.62,325.67,303.62,292.29,303.62,292.29,2025-06-20,2025-05-14,2025-04-09
ADBE,399.42,399.42,397.39,0.51,87870.0,67.28,372.25,382.4,466.46,384.74,379.9,387.38,452.86,5.44,0.83,406.54,372.25,337.96,8.97,19.08,338.78,400.04,434.88,452.99,434.88,452.07,2025-06-12,,2005-03-23
AMD,117.72,117.72,112.43,4.71,2392203.0,72.67,97.82,98.91,127.3,104.28,101.41,101.43,125.92,3.74,1.25,114.14,97.82,81.49,5.34,19.78,83.76,122.5,96.92,115.89,96.92,115.89,2025-07-28,,1995-04-26
AES,12.51,12.51,12.55,-0.32,1132683.0,70.59,10.54,11.31,13.9,11.21,10.99,11.11,14.03,0.25,-0.08,12.16,10.54,8.91,0.46,27.36,9.91,10.47,9.91,10.47,9.91,10.47,2025-07-30,2025-05-14,2025-04-30
AFL,103.87,103.87,105.04,-1.11,83379.0,41.08,106.68,107.24,107.01,105.82,106.24,106.66,104.44,-0.6,-0.34,109.97,106.68,103.39,2.16,22.79,103.17,107.21,104.64,107.21,104.64,107.21,2025-07-29,2025-06-01,2025-05-20
A,111.52,111.52,115.53,-3.47,106326.0,53.17,107.14,112.22,132.2,109.74,109.12,113.58,127.55,0.23,-1.19,114.67,107.14,99.61,3.75,27.94,104.84,116.72,104.84,122.96,104.84,122.96,2025-05-28,2025-04-22,2025-03-31
APD,271.47,271.47,273.79,-0.85,38714.0,48.42,268.81,280.14,297.78,271.19,271.56,279.74,287.89,-1.6,-3.06,278.43,268.81,259.19,7.51,28.78,265.38,281.76,265.38,270.77,265.38,276.57,2025-07-30,2025-05-11,2025-03-31
ABNB,137.43,137.43,138.0,-0.41,272445.0,68.22,123.35,122.91,129.26,128.56,125.86,125.25,130.42,3.56,1.52,137.77,123.35,108.93,4.79,16.31,109.82,139.81,118.09,126.54,118.09,126.54,2025-08-04,,
AKAM,77.47,77.47,78.93,-1.85,115102.0,45.85,78.94,79.18,92.55,79.64,79.38,80.78,89.28,0.29,0.45,86.26,78.94,71.62,2.61,19.56,71.36,83.81,76.2,83.81,76.2,83.81,2025-08-06,,
ALB,61.09,61.095,61.87,-1.25,108759.0,51.8,57.62,65.03,84.71,59.27,59.46,64.61,82.87,-0.94,-2.01,63.0,57.62,52.24,3.16,19.81,56.5,63.59,56.5,77.93,56.5,77.93,2025-07-29,2025-06-30,2025-06-12
ARE,70.96,70.96,72.39,-1.98,71030.0,33.51,74.46,84.98,103.01,73.52,75.27,82.26,100.49,-3.27,-3.76,78.62,74.46,70.3,2.54,36.99,71.61,74.62,71.61,74.62,71.61,74.62,2025-07-21,2025-04-14,2025-03-30
ALGN,187.66,187.66,190.25,-1.36,56860.0,61.37,178.55,169.67,209.27,181.5,178.44,178.01,206.32,4.36,3.05,190.85,178.55,166.25,7.51,26.83,163.19,184.2,174.84,184.2,174.84,184.2,2025-07-30,,
ALLE,141.02,141.02,142.92,-1.33,44949.0,61.25,136.49,130.93,135.33,139.88,137.5,133.4,132.34,3.75,3.44,149.58,136.49,123.41,3.0,28.61,136.22,142.13,136.22,142.13,139.11,142.13,2025-07-22,2025-06-29,2025-06-12
LNT,60.46,60.46,60.45,0.02,137023.0,46.34,60.85,61.85,60.24,60.82,60.99,61.33,59.3,-0.28,-0.27,62.08,60.85,59.62,1.39,18.79,60.23,62.04,60.23,62.64,60.23,62.64,2025-07-30,2025-05-14,2025-04-29
ALL,200.48,200.48,202.44,-0.97,51188.0,52.99,197.91,199.69,192.07,200.51,199.44,198.03,189.61,1.49,0.93,206.51,197.91,189.3,4.12,13.3,184.67,205.99,192.47,203.19,192.47,203.19,2025-07-30,2025-03-31,2025-03-09
GOOGL,165.28,165.28,159.5,3.62,1787718.0,57.36,157.69,159.48,170.94,158.94,158.54,161.85,169.22,0.18,-0.46,167.75,157.69,147.63,5.65,19.79,146.1,164.98,155.43,164.98,152.96,164.98,2025-07-21,2025-06-15,2025-06-08
